pdf	pages	chars	extracted_text	title_guess	errors
A_Multidataset_Characterization_of_Window-Based_Hyperparameters_for_Deep_CNN-Driven_sEMG_Pattern_Recognition.pdf	12	65525	IEEE-skills-main/analysis/extracted_text/A_Multidataset_Characterization_of_Window-Based_Hyperparameters_for_Deep_CNN-Driven_sEMG_Pattern_Recognition.txt	===== PAGE 1 ===== | IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS, VOL. 54, NO. 1, FEBRUARY 2024 131 | A Multidataset Characterization of Window-Based | Hyperparameters for Deep CNN-Driven	
A_Multimodal_Multilevel_Converged_Attention_Network_for_Hand_Gesture_Recognition_With_Hybrid_.pdf	12	54829	IEEE-skills-main/analysis/extracted_text/A_Multimodal_Multilevel_Converged_Attention_Network_for_Hand_Gesture_Recognition_With_Hybrid_.txt	===== PAGE 1 ===== | IEEE TRANSACTIONS ON CYBERNETICS, VOL. 53, NO. 12, DECEMBER 2023 7723 | A Multimodal Multilevel Converged Attention | Network for Hand Gesture Recognition With	
Contrast-Assisted_Domain-Specificity-Removal_Network_for_Semi-Supervised_Generalization_Fault.pdf	14	62211	IEEE-skills-main/analysis/extracted_text/Contrast-Assisted_Domain-Specificity-Removal_Network_for_Semi-Supervised_Generalization_Fault.txt	===== PAGE 1 ===== | IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS, VOL. 36, NO. 3, MARCH 2025 5403 | Contrast-Assisted Domain-Specificity-Removal | Network for Semi-Supervised Generalization	
Domain_Perturbation_With_Uncertainty_for_Bearing_Fault_Diagnosis_Under_Unseen_Conditions.pdf	11	57576	IEEE-skills-main/analysis/extracted_text/Domain_Perturbation_With_Uncertainty_for_Bearing_Fault_Diagnosis_Under_Unseen_Conditions.txt	===== PAGE 1 ===== | 4956 IEEE TRANSACTIONS ON CYBERNETICS, VOL. 55, NO. 10, OCTOBER 2025 | Domain Perturbation With Uncertainty for Bearing | Fault Diagnosis Under Unseen Conditions	
Extended_Invariant_Risk_Minimization_for_Machine_Fault_Diagnosis_With_Label_Noise_and_Data_Sh.pdf	14	87649	IEEE-skills-main/analysis/extracted_text/Extended_Invariant_Risk_Minimization_for_Machine_Fault_Diagnosis_With_Label_Noise_and_Data_Sh.txt	===== PAGE 1 ===== | 15476 IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS, VOL. 36, NO. 8, AUGUST 2025 | Extended Invariant Risk Minimization for Machine | Fault Diagnosis With Label Noise and Data Shift	
Learning_Motor_Cues_in_Brain-Muscle_Modulation.pdf	13	65120	IEEE-skills-main/analysis/extracted_text/Learning_Motor_Cues_in_Brain-Muscle_Modulation.txt	===== PAGE 1 ===== | 86 IEEE TRANSACTIONS ON CYBERNETICS, VOL. 55, NO. 1, JANUARY 2025 | Learning Motor Cues in Brain-Muscle Modulation | Tian-Yu Xiang , Student Member, IEEE, Xiao-Hu Zhou , Member, IEEE, Xiao-Liang Xie , Member, IEEE,	
Multisource_Domain_Separation_Network_for_Industrial_Intelligent_Monitoring_in_Unseen_Conditi.pdf	11	52844	IEEE-skills-main/analysis/extracted_text/Multisource_Domain_Separation_Network_for_Industrial_Intelligent_Monitoring_in_Unseen_Conditi.txt	===== PAGE 1 ===== | This article has been accepted for inclusion in a future issue of this journal. Content is final as presented, with the exception of pagination. | IEEE TRANSACTIONS ON CYBERNETICS 1 | Multisource Domain Separation Netwo	
Self-Supervised_Time_Series_Representation_Learning_via_Cross_Reconstruction_Transformer.pdf	10	59120	IEEE-skills-main/analysis/extracted_text/Self-Supervised_Time_Series_Representation_Learning_via_Cross_Reconstruction_Transformer.txt	===== PAGE 1 ===== | IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS, VOL. 35, NO. 11, NOVEMBER 2024 16129 | Self-Supervised Time Series Representation | Learning via Cross Reconstruction Transformer	
Sparsity-Constrained_Invariant_Risk_Minimization_for_Domain_Generalization_With_Application_t.pdf	13	71535	IEEE-skills-main/analysis/extracted_text/Sparsity-Constrained_Invariant_Risk_Minimization_for_Domain_Generalization_With_Application_t.txt	===== PAGE 1 ===== | IEEE TRANSACTIONS ON CYBERNETICS, VOL. 54, NO. 3, MARCH 2024 1547 | Sparsity-Constrained Invariant Risk Minimization | for Domain Generalization With Application to	
Time_Series_Classification_Based_on_Supervised_Contrastive_Learning_and_Homoscedastic_Uncerta.pdf	14	79471	IEEE-skills-main/analysis/extracted_text/Time_Series_Classification_Based_on_Supervised_Contrastive_Learning_and_Homoscedastic_Uncerta.txt	===== PAGE 1 ===== | 414 IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS, VOL. 37, NO. 1, JANUARY 2026 | Time Series Classification Based on | Supervised Contrastive Learning	
